WKT,name
"POINT (281.544267498291 91.0253275720495)",5608.EG.059
"POINT (288.057988968744 89.1694627955518)",5608.EG.059
"POINT (285.947397654295 81.6732246787181)",5608.EG.059
"POINT (279.360897173 83.6382579714803)",5608.EG.059
"POINT (281.544267498291 91.0253275720495)",5608.EG.059
"POINT (256.108003208646 185.383315130059)",5609.EG.038
"POINT (261.129754956817 184.546356505364)",5609.EG.038
"POINT (259.78334325622 177.177481657505)",5609.EG.038
"POINT (254.870760024315 178.050829787622)",5609.EG.038
"POINT (256.108003208646 185.383315130059)",5609.EG.038
"POINT (222.120205144944 191.62411530985)",5611.EG.038
"POINT (226.996398871428 190.823546190576)",5611.EG.038
"POINT (225.722766181675 183.327308073742)",5611.EG.038
"POINT (220.701014433505 184.200656203859)",5611.EG.038
"POINT (222.120205144944 191.62411530985)",5611.EG.038
"POINT (204.46219763915 168.407610850918)",5613.EG.008
"POINT (205.754025081614 175.63092767709)",5613.EG.008
"POINT (211.86746199243 174.539242514445)",5613.EG.008
"POINT (210.630218808098 167.315925688272)",5613.EG.008
"POINT (204.46219763915 168.407610850918)",5613.EG.008
"POINT (187.868583166936 197.755746973376)",5613.EG.036
"POINT (192.671997882577 196.955177854103)",5613.EG.036
"POINT (190.816133106079 185.965547216803)",5613.EG.036
"POINT (185.867160368752 186.62055831439)",5613.EG.036
"POINT (187.868583166936 197.755746973376)",5613.EG.036
"POINT (190.415848546442 212.457107163672)",5613.EG.054
"POINT (195.328431778348 211.620148538977)",5613.EG.054
"POINT (193.363398485586 200.666907407098)",5613.EG.054
"POINT (188.523594264523 201.503866031793)",5613.EG.054
"POINT (190.415848546442 212.457107163672)",5613.EG.054
"POINT (192.417271344626 223.628685328079)",5613.EG.062
"POINT (197.257075565688 222.773531950673)",5613.EG.062
"POINT (195.947053370514 215.29548858655)",5613.EG.062
"POINT (191.034470138608 216.168836716667)",5613.EG.062
"POINT (192.417271344626 223.628685328079)",5613.EG.062
"POINT (194.546057411785 170.318059885548)",5613.EG.009A
"POINT (195.783300596117 177.341234431902)",5613.EG.009A
"POINT (195.346626531058 177.414013442745)",5613.EG.009A
"POINT (196.001637628646 180.943795468633)",5613.EG.009A
"POINT (206.518204695466 179.051541186714)",5613.EG.009A
"POINT (206.054238501342 175.740096193355)",5613.EG.009A
"POINT (205.617564436283 175.821972580553)",5613.EG.009A
"POINT (204.34393174653 168.434902979984)",5613.EG.009A
"POINT (194.546057411785 170.318059885548)",5613.EG.009A
"POINT (266.306162103028 157.299714320999)",5607.EG.014
"POINT (267.54340528736 164.104551834823)",5607.EG.014
"POINT (280.170563668629 161.812012993267)",5607.EG.014
"POINT (279.188047022248 155.007175479443)",5607.EG.014
"POINT (266.306162103028 157.299714320999)",5607.EG.014
"POINT (256.571969402771 159.082800086653)",5609.EG.022
"POINT (257.954770608789 165.887637600478)",5609.EG.022
"POINT (267.124925975013 164.140941340245)",5609.EG.022
"POINT (266.033240812367 157.408882837263)",5609.EG.022
"POINT (256.571969402771 159.082800086653)",5609.EG.022
