WKT
"MULTILINESTRING ((254.973074212947 147.958163718087,247.996065098361 145.401124984551))"
"MULTILINESTRING ((247.996065098361 145.401124984551,248.68216594808 149.413203724927))"
"MULTILINESTRING ((248.68216594808 149.413203724927,244.573817693473 150.611471965854))"
"MULTILINESTRING ((244.573817693473 150.611471965854,241.814412778539 157.949798243349))"
"MULTILINESTRING ((241.814412778539 157.949798243349,245.301337696893 156.132064932982))"
"MULTILINESTRING ((245.301337696893 156.132064932982,244.573817693473 150.611471965854))"
"MULTILINESTRING ((245.301337696893 156.132064932982,246.919918630803 158.550718767932))"
"MULTILINESTRING ((244.573817693473 150.611471965854,247.996065098361 145.401124984551))"
"MULTILINESTRING ((244.573817693473 150.611471965854,240.457302362745 147.646475017497))"
"MULTILINESTRING ((240.457302362745 147.646475017497,239.395587080895 151.809740206781))"
"MULTILINESTRING ((239.395587080895 151.809740206781,244.573817693473 150.611471965854))"
"MULTILINESTRING ((241.814412778539 157.949798243349,240.304743126354 154.117583590805))"
"MULTILINESTRING ((240.304743126354 154.117583590805,239.395587080895 151.809740206781))"
"MULTILINESTRING ((239.395587080895 151.809740206781,234.304857561164 154.699393746276))"
"MULTILINESTRING ((235.935154487596 148.993354503766,239.395587080895 151.809740206781))"
"MULTILINESTRING ((269.390915834861 143.789014689772,268.302383772424 139.353077724964))"
"MULTILINESTRING ((266.237642666963 154.880379796608,265.234970777544 147.005582602386))"
"MULTILINESTRING ((269.390915834861 143.789014689772,275.659603978171 146.037895132286))"
"MULTILINESTRING ((275.659603978171 146.037895132286,279.578055392382 140.843240689661))"
"MULTILINESTRING ((279.578055392382 140.843240689661,285.818852061075 144.810334372205))"
"MULTILINESTRING ((285.818852061075 144.810334372205,287.032890822783 139.03932610931))"
"MULTILINESTRING ((287.032890822783 139.03932610931,290.532931974932 144.128423441269))"
"MULTILINESTRING ((290.532931974932 144.128423441269,293.681417924323 137.430521315656))"
"MULTILINESTRING ((289.439899975132 150.915551209711,285.818852061075 144.810334372205))"
"MULTILINESTRING ((285.818852061075 144.810334372205,282.287929218445 148.820665161852))"
"MULTILINESTRING ((282.287929218445 148.820665161852,278.69988073905 152.895877771411))"
"MULTILINESTRING ((278.69988073905 152.895877771411,275.659603978171 146.037895132286))"
"MULTILINESTRING ((275.659603978171 146.037895132286,268.988533102362 150.311904905622))"
"MULTILINESTRING ((268.988533102362 150.311904905622,275.643074001991 153.181179733537))"
"MULTILINESTRING ((275.643074001991 153.181179733537,275.659603978171 146.037895132286))"
"MULTILINESTRING ((266.237642666963 154.880379796608,268.988533102362 150.311904905622))"
"MULTILINESTRING ((268.988533102362 150.311904905622,265.234970777544 147.005582602386))"
"MULTILINESTRING ((282.287929218445 148.820665161852,289.439899975132 150.915551209711))"
"MULTILINESTRING ((282.287929218445 148.820665161852,280.32928609685 145.604422530552))"
"MULTILINESTRING ((293.681417924323 137.430521315656,295.481749725503 131.834479353075))"
"MULTILINESTRING ((244.573817693473 150.611471965854,240.304743126354 154.117583590805))"
"MULTILINESTRING ((240.304743126354 154.117583590805,237.770071371364 156.199262410392))"
"MULTILINESTRING ((237.770071371364 156.199262410392,233.770641954993 159.483919482891))"
"MULTILINESTRING ((233.770641954993 159.483919482891,234.304857561164 154.699393746276))"
"MULTILINESTRING ((234.304857561164 154.699393746276,225.446638364004 158.947552921281))"
"MULTILINESTRING ((225.446638364004 158.947552921281,218.093592498962 162.473872214196))"
"MULTILINESTRING ((213.546536484653 158.1807564323,225.446638364004 158.947552921281))"
"MULTILINESTRING ((225.446638364004 158.947552921281,233.770641954993 159.483919482891))"
"MULTILINESTRING ((218.093592498962 162.473872214196,215.37646677974 164.014681311072))"
"MULTILINESTRING ((213.546536484653 158.1807564323,215.37646677974 164.014681311072))"
"MULTILINESTRING ((213.546536484653 158.1807564323,218.093592498962 162.473872214196))"
"MULTILINESTRING ((209.575291058358 165.428785393353,213.546536484653 158.1807564323))"
"MULTILINESTRING ((209.575291058358 165.428785393353,208.492940037689 165.645255597487))"
"MULTILINESTRING ((208.492940037689 165.645255597487,207.537419900319 165.83635962496))"
"MULTILINESTRING ((191.794865204465 169.168278968355,192.512667275682 169.075659346262))"
"MULTILINESTRING ((192.512667275682 169.075659346262,193.05834532245 169.005249275712))"
"MULTILINESTRING ((201.128315108285 167.334194926119,201.847276109058 167.085050024861))"
"MULTILINESTRING ((201.847276109058 167.085050024861,203.186564977905 166.620940020806))"
"MULTILINESTRING ((203.186564977905 166.620940020806,213.546536484653 158.1807564323))"
"MULTILINESTRING ((308.982646147513 147.312110798384,310.947202801988 147.075417225555))"
"MULTILINESTRING ((310.947202801988 147.075417225555,312.365512269858 146.904536566776))"
"MULTILINESTRING ((312.5159092903 126.125405388106,307.868057991013 124.410053019154))"
"MULTILINESTRING ((307.868057991013 124.410053019154,309.238598368164 122.739753609041))"
"MULTILINESTRING ((342.959690087658 117.512307262163,338.423898134653 115.615620036636))"
"MULTILINESTRING ((338.423898134653 115.615620036636,339.709464379755 113.991229411935))"
"MULTILINESTRING ((293.258321970974 126.992132243547,291.423966149005 118.108445930707))"
"MULTILINESTRING ((291.423966149005 118.108445930707,291.937509680831 116.268248274998))"
"MULTILINESTRING ((291.937509680831 116.268248274998,293.502088899067 115.670512694352))"
"MULTILINESTRING ((291.937509680831 116.268248274998,290.493168497571 115.4765353301))"
"MULTILINESTRING ((290.493168497571 115.4765353301,291.423966149005 118.108445930707))"
"MULTILINESTRING ((291.579038688557 109.847191634359,289.749600258781 110.490883541957))"
"MULTILINESTRING ((289.749600258781 110.490883541957,289.246755550534 112.1545506086))"
"MULTILINESTRING ((289.246755550534 112.1545506086,290.493168497571 115.4765353301))"
"MULTILINESTRING ((289.246755550534 112.1545506086,288.519235547114 109.779411773906))"
"MULTILINESTRING ((288.519235547114 109.779411773906,289.749600258781 110.490883541957))"
